代码,2016年,2017年,2018年,2019年,2020年,总数
510104,34,60,48,40,16,198
510105,32,39,29,55,14,169
510106,6,42,46,50,22,166
510107,28,32,44,31,11,146
510108,17,33,41,35,14,140
510112,28,34,32,39,14,147
510113,7,27,23,12,4,73
510114,26,35,31,30,41,163
510115,10,22,27,16,4,79
510116,17,43,55,37,19,171
510117,0,0,0,0,3,3
510121,13,15,14,25,3,70
510122,9,0,0,0,0,9
510124,13,40,28,38,12,131
510129,25,17,7,16,2,67
510131,5,14,6,5,4,34
510132,12,9,9,5,0,35
510185,9,19,19,14,1,53
510181,19,21,28,26,20,114
510182,9,29,22,17,3,80
510183,22,12,17,10,11,72
510184,15,9,20,10,16,70
510191,46,29,53,37,24,189
510192,0,0,0,0,3,3
510302,20,35,20,13,15,103
510303,0,1,4,5,4,14
510304,6,5,4,3,3,21
510311,1,1,3,0,0,5
510321,3,10,17,3,11,44
510322,7,12,8,6,7,40
510402,32,45,37,21,9,144
510403,3,3,8,14,6,34
510411,11,13,23,10,11,68
510421,2,8,7,4,2,23
510422,8,11,5,5,2,31
510502,36,17,32,25,10,120
510503,3,4,6,6,0,19
510504,6,10,13,5,4,38
510521,10,4,12,7,1,34
510522,1,4,12,12,5,34
510524,6,3,4,14,2,29
510525,3,14,8,5,3,33
510603,11,36,23,8,27,105
510623,6,7,3,5,3,24
510626,1,3,2,1,0,7
510681,4,9,6,6,0,25
510682,9,6,4,7,5,31
510683,3,3,11,12,5,34
510703,53,29,61,29,17,189
510704,8,4,10,10,7,39
510722,4,2,7,3,9,25
510723,3,3,5,2,2,15
510724,5,9,1,6,13,34
510725,1,5,4,2,1,13
510726,2,4,5,4,5,20
510727,2,3,2,1,3,11
510781,12,28,14,7,13,74
510792,4,6,6,6,1,23
510802,29,36,31,23,23,142
510811,0,2,1,3,2,8
510812,1,0,1,2,3,7
510821,3,7,6,8,5,29
510822,3,5,3,3,2,16
510823,8,5,6,6,6,31
510824,1,8,18,2,10,39
510903,21,33,24,22,7,107
510904,5,7,4,2,1,19
510906,1,0,0,0,0,1
510921,4,3,5,3,4,19
510922,13,7,17,5,4,46
510923,6,11,3,5,4,29
511002,12,13,14,13,11,63
511011,9,14,9,22,17,71
511024,2,8,9,6,5,30
511025,3,6,6,8,10,33
511028,4,6,4,6,8,28
511102,20,16,12,9,4,61
511111,1,2,1,1,1,6
511112,6,2,2,2,3,15
511123,2,5,3,3,2,15
511124,3,1,2,3,2,11
511126,4,3,8,6,2,23
511129,4,6,4,2,1,17
511132,0,2,1,4,0,7
511133,0,2,2,2,1,7
511181,4,8,6,4,3,25
511302,9,33,16,38,14,110
511303,8,9,10,9,3,39
511304,7,6,12,6,4,35
511321,9,11,22,24,10,76
511322,7,5,9,9,4,34
511323,5,4,5,2,0,16
511324,7,5,9,11,8,40
511325,2,7,1,8,6,24
511381,9,8,17,6,0,40
511402,13,22,16,23,13,87
511403,13,8,7,6,5,39
511421,13,14,17,16,7,67
511423,9,6,4,3,7,29
511424,5,6,3,1,0,15
511425,2,3,2,5,9,21
511502,19,38,39,40,16,152
511503,1,8,6,12,4,31
511521,16,6,8,15,4,49
511523,9,10,6,6,1,32
511524,4,5,5,7,2,23
511525,19,19,3,11,9,61
511526,6,2,7,4,5,24
511527,11,7,10,3,4,35
511528,7,4,1,1,2,15
511529,9,6,9,7,5,36
511602,13,6,14,20,8,61
511603,0,2,5,5,1,13
511621,7,5,14,16,7,49
511622,1,10,5,5,11,32
511623,5,8,12,7,11,43
511681,1,5,5,6,4,21
511702,16,28,25,21,13,103
511703,8,11,17,18,10,64
511722,3,5,10,12,5,35
511723,18,14,9,12,7,60
511724,2,6,7,7,7,29
511725,5,7,13,6,11,42
511781,2,3,6,7,0,18
511802,11,10,26,9,23,79
511803,13,8,2,3,7,33
511822,2,2,3,2,10,19
511823,4,1,3,3,4,15
511824,0,0,3,2,4,9
511825,3,2,9,6,0,20
511826,2,2,4,3,3,14
511827,0,3,0,2,0,5
511901,0,0,1,0,0,1
511902,18,28,26,24,17,113
511903,6,15,27,4,4,56
511921,6,9,13,7,11,46
511922,2,6,4,5,6,23
511923,8,6,4,10,8,36
512002,5,22,30,27,20,104
512021,4,6,15,4,12,41
512022,8,5,11,9,8,41
513201,1,1,2,0,0,4
513221,2,0,1,0,2,5
513222,1,1,1,0,1,4
513223,0,3,0,1,0,4
513224,0,0,2,0,0,2
513225,2,0,0,0,0,2
513226,1,0,3,0,0,4
513227,0,0,0,0,1,1
513228,0,1,0,0,0,1
513230,0,0,0,3,2,5
513231,0,1,0,0,0,1
513232,0,0,1,0,0,1
513233,0,0,1,1,2,4
513301,0,0,3,1,0,4
513322,1,0,0,3,0,4
513323,0,0,1,1,0,2
513324,0,0,1,0,0,1
513325,0,0,2,2,1,5
513326,0,0,0,0,1,1
513327,0,0,2,0,0,2
513328,0,0,1,0,0,1
513330,0,0,0,1,0,1
513331,0,1,1,1,0,3
513333,0,1,0,1,0,2
513334,0,1,0,1,2,4
513335,0,0,1,0,0,1
513336,0,1,0,0,0,1
513338,0,0,0,2,0,2
513401,10,27,25,27,21,110
513422,0,0,2,0,0,2
513423,2,2,7,3,4,18
513424,6,3,6,2,4,21
513425,3,3,4,15,4,29
513426,0,8,19,2,2,31
513427,2,3,3,4,2,14
513428,1,3,2,1,1,8
513429,1,1,2,3,0,7
513430,0,1,0,1,0,2
513431,1,1,1,1,3,7
513432,0,0,1,0,0,1
513433,5,5,5,3,5,23
513434,1,1,2,1,2,7
513435,0,2,2,1,0,5
513436,1,1,3,2,1,8
513437,1,2,1,3,4,11
